coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
4796667,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-107_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-107_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-107_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-107.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:ba2dd9bd-06ba-4f8f-9753-feb8abdb329c,"2017-08-10 01:01:18",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796667,StillImage,Photograph,en
4796668,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-105_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-105_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-105_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-105.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:0d77c4e1-a48e-4151-aac5-b79f20d5ff45,"2017-08-10 01:03:53",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796668,StillImage,Photograph,en
4796669,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-104_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-104_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-104_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-104.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:93663a57-fdc7-48ad-a92f-2c6484d9cf23,"2017-08-10 01:05:04",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796669,StillImage,Photograph,en
4796670,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-220_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-220_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-220_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-220.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:f91a45eb-9205-4e54-8fd0-43de46d3be22,"2017-08-10 01:00:58",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796670,StillImage,Photograph,en
4796671,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-110_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-110_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-110_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-110.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:6898bb8b-031c-471e-8acd-1e9635b85bf6,"2017-08-10 01:02:06",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796671,StillImage,Photograph,en
4796672,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-109_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-109_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-109_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-109.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:3c26d759-fcbc-4aa3-97ed-f319d4ad3360,"2017-08-10 01:00:59",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796672,StillImage,Photograph,en
4796673,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-108_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-108_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-108_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-108.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:68b2d447-8b50-49cd-a619-480c7b195d54,"2017-08-10 01:03:22",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796673,StillImage,Photograph,en
4796674,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-106_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-106_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-106_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-106.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:5f344d89-9754-4430-96dd-9962006ee7b5,"2017-08-10 01:03:05",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796674,StillImage,Photograph,en
4796675,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-112_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-112_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-112_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-112.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:abb63313-2bd7-422d-aacd-46a22a2971e9,"2017-08-10 01:05:57",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796675,StillImage,Photograph,en
4796676,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-118_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-118_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-118_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-118.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:cc20e3de-41bb-46b8-b06b-9f0c946f42d5,"2017-08-10 01:00:56",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796676,StillImage,Photograph,en
4796677,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-111_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-111_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-111_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-111.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:aef51021-4427-4f83-8762-47ea2565113f,"2017-08-10 01:00:40",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796677,StillImage,Photograph,en
4796678,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-223_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-223_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-223_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-223.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:9b7964ce-8f13-49b7-b853-fc06f93972fd,"2017-08-10 01:04:58",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796678,StillImage,Photograph,en
4796679,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-121_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-121_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-121_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-121.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:09e34b48-8db5-4dbd-8967-ef3f267aec9d,"2017-08-10 01:04:37",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796679,StillImage,Photograph,en
4796680,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-117_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-117_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-117_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-117.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:fb31cda8-1e57-4d19-b315-b64ea724beb5,"2017-08-10 01:02:17",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796680,StillImage,Photograph,en
4796681,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-115_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-115_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-115_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-115.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:e7dda798-ff1e-4f8b-885d-d611077b5943,"2017-08-10 01:06:06",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796681,StillImage,Photograph,en
4796682,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-114_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-114_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-114_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-114.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:a8da52c7-a6e8-443a-9aab-4b94ef0963b3,"2017-08-10 01:04:24",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796682,StillImage,Photograph,en
4796683,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-119_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-119_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-119_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-119.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:3fbc61ef-8794-421c-8f04-87a7588fd328,"2017-08-10 01:01:54",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796683,StillImage,Photograph,en
4796684,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-113_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-113_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-113_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-113.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:34ea1fbf-dd06-4d75-b505-a4d55ea0c14e,"2017-08-10 01:04:27",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796684,StillImage,Photograph,en
4796685,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-227_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-227_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-227_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-227.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:83debc49-2b02-408c-a238-024b59fb562c,"2017-08-10 01:01:07",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796685,StillImage,Photograph,en
