Symbiota ID,institutionCode(Collection),CollectionCode,OwnerInstitutionCode,BasisOfRecord,OccurrenceID,CatalogNumber,OtherCatalogNumbers,HigherClassification,Kingdom,Phylum,Class,Order,Family,ScientificName,TaxonID,ScientificNameAuthorship,Genus,Subgenus,SpecificEpithet,VerbatimTaxonRank,InfraspecificEpithet,TaxonRank,IdentifiedBy,DateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
4797259,FNL,,,PreservedSpecimen,,GBHV16E-038,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Cortinariaceae|Cortinarius,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius camphoratus,154068,(Fr.) Fr.,Cortinarius,,camphoratus,,,Species,Andrus Voitk,,,,,,,Michael Burzynski,,,9/4/2016,,2016,9,4,248,,9/4/2016,,Coniferous forest,Soil,,,,,,,,,Spruce,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Pinware Provincial Park,,0,,51.634406,-56.690739,,,,,,,,,,,,,,,,,,2017-07-19 15:07,,62,2392d311-f5a7-4b07-b69b-dcaec248e502,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797259
4797260,FNL,,,PreservedSpecimen,,GBHV16E-045,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Polyporales|Fomitopsidaceae|Fomitopsis,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis pinicola,183477,(Sw.) P. Karst.,Fomitopsis,,pinicola,,,Species,?,,,,,,,Andr_ Arsenault,,,9/5/2016,,2016,9,5,249,,9/5/2016,,Coniferous forest,Wood,,,,,,,,,Balsam fir,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Old Growth - 1,,0,,53.11568,-60.5051,,,,,,,,,,,,,,,,,,2017-07-19 15:07,,62,039c549f-dfe9-453f-bcdb-506587b2bd88,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797260
4797261,FNL,,,PreservedSpecimen,,GBHV16E-010,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Polyporales|Polyporaceae|Trichaptum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trichaptum laricinum,313688,(P. Karst.) Ryvarden,Trichaptum,,laricinum,,,Species,Renée Lebeuf,,,,,,,Renée Lebeuf,,,9/6/2016,,2016,9,6,250,,9/6/2016,,Coniferous forest,Wood,,,,,,,,,Spruce,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Labrador Interpretation Centre,,0,,53.5343,-60.14833,,,,,,,,,,,,,,,,,,2017-12-11 12:45,,62,af8104cd-7ff3-432b-b0c1-468018c6ff00,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797261
4797262,FNL,,,PreservedSpecimen,,GBHV16E-015,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Hymenochaetales|Hymenochaetaceae|Onnia,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Onnia tomentosa,186455,(Fr.) P. Karst.,Onnia,,tomentosa,,,Species,Renée Lebeuf,,,,,,,Renée Lebeuf,,,9/6/2016,,2016,9,6,250,,9/6/2016,,,,,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Labrador Interpretation Centre,,0,,53.5343,-60.14833,,,,,,,,,,,,,,,,,,2017-07-20 8:37,,62,de42ce40-c164-4532-beb7-931f5bc30bc2,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797262
4797263,FNL,,,PreservedSpecimen,,GBHV16E-019,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Hymenochaetales|Hymenochaetaceae|Onnia,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Onnia tomentosa,186455,(Fr.) P. Karst.,Onnia,,tomentosa,,,Species,Renée Lebeuf,,,,,,,Renée Lebeuf,,,9/6/2016,,2016,9,6,250,,9/6/2016,,,,,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Labrador Interpretation Centre,,0,,53.5343,-60.14833,,,,,,,,,,,,,,,,,,2017-07-20 8:37,,62,8160018f-0b44-4b23-9204-26fc6fae86dd,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797263
4797264,FNL,,,PreservedSpecimen,,GBHV16E-021,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Hymenochaetales|Hymenochaetaceae|Onnia,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Onnia tomentosa,186455,(Fr.) P. Karst.,Onnia,,tomentosa,,,Species,Renée Lebeuf,,,,,,,Renée Lebeuf,,,9/6/2016,,2016,9,6,250,,9/6/2016,,,,,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Labrador Interpretation Centre,,0,,53.5343,-60.14833,,,,,,,,,,,,,,,,,,2017-07-20 8:37,,62,9756a174-4f2c-4b84-85ba-1b23b2cf8051,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797264
4797265,FNL,,,PreservedSpecimen,,GBHV16E-023,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Hymenochaetales|Hymenochaetaceae|Onnia,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Onnia tomentosa,186455,(Fr.) P. Karst.,Onnia,,tomentosa,,,Species,Greg Thorn,,,,,,,Renée Lebeuf and Greg Thorn,,,9/6/2016,,2016,9,6,250,,9/6/2016,,Coniferous woods,"Duff, soil, wood, conifer rotten, buried wood",,,,,,,,,Black spruce,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Sunday Hill Trail,,0,,53.5343,-60.14833,,,,,,,,,,,,,,,,,,2017-07-20 8:28,,62,536196ef-6efd-421d-ad0b-a3babed14ab8,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797265
4797266,FNL,,,PreservedSpecimen,,GBHV16E-029,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Russulales|Russulaceae|Lactarius,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius helvus,184775,(Fr.) Fr.,Lactarius,,helvus,,,Species,Andrus Voitk,,,,,,,Maria Voitk,,,9/6/2016,,2016,9,6,250,,9/6/2016,,Coniferous forest,Moss,,,,,,,,,Spruce,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Labrador Interpretation Centre,,0,,53.5343,-60.14833,,,,,,,,,,,,,,,,,,2017-12-11 12:45,,62,129b3acb-9dc8-43e4-93e5-d48e4e8763a7,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797266
4797267,FNL,,,PreservedSpecimen,,GBHV16E-031,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Strophariaceae|Gymnopilus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Gymnopilus penetrans,183873,(Fr.) Murrill,Gymnopilus,,penetrans,,,Species,Renée Lebeuf,,,,,,,Renée Lebeuf,,,9/6/2016,,2016,9,6,250,,9/6/2016,,,,,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Labrador Interpretation Centre,,0,,53.5343,-60.14833,,,,,,,,,,,,,,,,,,2017-12-11 12:45,,62,4b6fd66d-ad8e-4f2e-97e5-b3650359f9f5,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797267
4797268,FNL,,,PreservedSpecimen,,GBHV16E-034,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Gloeophyllales|Gloeophyllaceae|Gloeophyllum,Fungi,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Gloeophyllum sepiarium,183701,(Wulfen) P. Karst.,Gloeophyllum,,sepiarium,,,Species,Greg Thorn,,,,,,,Maria Voitk,,,9/6/2016,,2016,9,6,250,,9/6/2016,,Coniferous forest,"Wood, dead",,,,,,,,,Spruce,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Labrador Interpretation Centre,,0,,53.5343,-60.14833,,,,,,,,,,,,,,,,,,2017-07-19 15:07,,62,ff78169f-9805-48ce-a75e-9082da5e1fa8,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797268
